"cout";"distanceTotale";"nbcentres"
70293.1112427216;50366.389053402;10
70273.0685819039;50341.3357273799;10
70273.0685819039;50341.3357273799;10
70273.0685819039;50341.3357273799;10
70243.4754149988;50304.3442687485;10
70243.4754149988;50304.3442687485;10
70206.0685323977;50257.5856654971;10
70206.0685323977;50257.5856654971;10
70206.0685323977;50257.5856654971;10
70206.0685323977;50257.5856654971;10
70206.0685323977;50257.5856654971;10
69781.5282411262;49726.9103014077;10
69517.9336420906;49397.4170526132;10
69517.9336420906;49397.4170526132;10
69517.9336420906;49397.4170526132;10
69517.9336420906;49397.4170526132;10
68945.2257100097;48681.5321375121;10
68945.2257100097;48681.5321375121;10
68945.2257100097;48681.5321375121;10
68945.2257100097;48681.5321375121;10
68395.7215224693;47994.6519030866;10
68395.7215224693;47994.6519030866;10
68371.7028901913;47964.6286127391;10
68371.7028901913;47964.6286127391;10
68371.7028901913;47964.6286127391;10
68371.7028901913;47964.6286127391;10
68371.7028901913;47964.6286127391;10
68371.7028901913;47964.6286127391;10
68371.7028901913;47964.6286127391;10
68305.3635989396;47881.7044986745;10
68305.3635989396;47881.7044986745;10
68305.3635989396;47881.7044986745;10
68305.3635989396;47881.7044986745;10
68305.3635989396;47881.7044986745;10
68305.3635989396;47881.7044986745;10
68305.3635989396;47881.7044986745;10
68301.2390920348;47876.5488650435;10
68301.2390920348;47876.5488650435;10
68301.2390920348;47876.5488650435;10
68301.2390920348;47876.5488650435;10
68301.2390920348;47876.5488650435;10
68301.2390920348;47876.5488650435;10
68301.2390920348;47876.5488650435;10
68301.2390920348;47876.5488650435;10
68301.2390920348;47876.5488650435;10
68301.2390920348;47876.5488650435;10
68301.2390920348;47876.5488650435;10
68307.2590591163;47884.0738238954;10
68307.2590591163;47884.0738238954;10
68307.2590591163;47884.0738238954;10
68301.2390920348;47876.5488650435;10
68301.2390920348;47876.5488650435;10
68301.2390920348;47876.5488650435;10
68301.2390920348;47876.5488650435;10
68301.2390920348;47876.5488650435;10
68305.3635989396;47881.7044986745;10
68305.3635989396;47881.7044986745;10
68305.3635989396;47881.7044986745;10
68285.8569256634;47857.3211570792;10
68285.8569256634;47857.3211570792;10
68279.058690369;47848.8233629613;10
68279.058690369;47848.8233629613;10
68279.058690369;47848.8233629613;10
68279.058690369;47848.8233629613;10
68279.058690369;47848.8233629613;10
68279.058690369;47848.8233629613;10
68279.058690369;47848.8233629613;10
68279.058690369;47848.8233629613;10
68279.058690369;47848.8233629613;10
68279.058690369;47848.8233629613;10
68279.058690369;47848.8233629613;10
68279.058690369;47848.8233629613;10
68279.058690369;47848.8233629613;10
68274.9341834642;47843.6677293303;10
